recvtimets,recvtime,fiwareservicepath,entityid,entitytype,attrname,attrtype,attrvalue,attrmd
1748950902420,06/03/2025 11:41:42,capricornio,mkr1310_limoneno,LoraDevice,Temperature,Number,27.600000381,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:41:42.00Z""}}"
1748950902420,06/03/2025 11:41:42,capricornio,mkr1310_limoneno,LoraDevice,Humidity,Number,53,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:41:42.00Z""}}"
1748950902420,06/03/2025 11:41:42,capricornio,mkr1310_limoneno,LoraDevice,latitude,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:41:42.00Z""}}"
1748950902420,06/03/2025 11:41:42,capricornio,mkr1310_limoneno,LoraDevice,Limonene,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:41:42.00Z""}}"
1748950902420,06/03/2025 11:41:42,capricornio,mkr1310_limoneno,LoraDevice,ID,Text,a8610a3237468a01,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:41:42.00Z""}}"
1748950902420,06/03/2025 11:41:42,capricornio,mkr1310_limoneno,LoraDevice,PPM,Number,20,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:41:42.00Z""}}"
1748950902420,06/03/2025 11:41:42,capricornio,mkr1310_limoneno,LoraDevice,TimeInstant,DateTime,2025-06-03T11:41:42.00Z,[]
1748950902420,06/03/2025 11:41:42,capricornio,mkr1310_limoneno,LoraDevice,hash,Text,"[33,238,54,146,146,1,2,71,234,214,170,109,249,106,20,161,142,12,69,146]","{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:41:42.00Z""}}"
1748950902420,06/03/2025 11:41:42,capricornio,mkr1310_limoneno,LoraDevice,longitude,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:41:42.00Z""}}"
1748950842129,06/03/2025 11:40:42,capricornio,mkr1310_limoneno,LoraDevice,Temperature,Number,27.100000381,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:40:42.00Z""}}"
1748950842129,06/03/2025 11:40:42,capricornio,mkr1310_limoneno,LoraDevice,Humidity,Number,53,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:40:42.00Z""}}"
1748950842129,06/03/2025 11:40:42,capricornio,mkr1310_limoneno,LoraDevice,latitude,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:40:42.00Z""}}"
1748950842129,06/03/2025 11:40:42,capricornio,mkr1310_limoneno,LoraDevice,Limonene,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:40:42.00Z""}}"
1748950842129,06/03/2025 11:40:42,capricornio,mkr1310_limoneno,LoraDevice,ID,Text,a8610a3237468a01,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:40:42.00Z""}}"
1748950842129,06/03/2025 11:40:42,capricornio,mkr1310_limoneno,LoraDevice,PPM,Number,22,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:40:42.00Z""}}"
1748950842129,06/03/2025 11:40:42,capricornio,mkr1310_limoneno,LoraDevice,TimeInstant,DateTime,2025-06-03T11:40:42.00Z,[]
1748950842129,06/03/2025 11:40:42,capricornio,mkr1310_limoneno,LoraDevice,hash,Text,"[208,249,18,186,180,155,177,83,118,174,38,24,14,222,198,16,3,161,72,149]","{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:40:42.00Z""}}"
1748950842129,06/03/2025 11:40:42,capricornio,mkr1310_limoneno,LoraDevice,longitude,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:40:42.00Z""}}"
1748950962696,06/03/2025 11:42:42,capricornio,mkr1310_limoneno,LoraDevice,Temperature,Number,27.600000381,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-03T11:42:42.00Z""}}"
