recvtimets,recvtime,fiwareservicepath,entityid,entitytype,attrname,attrtype,attrvalue,attrmd
1749064466782,06/04/2025 19:14:26,capricornio,mkr1310_vibracion,LoraDevice,AlarmaSonido,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:13:57.00Z""}}"
1749064466782,06/04/2025 19:14:26,capricornio,mkr1310_vibracion,LoraDevice,latitud,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:13:57.00Z""}}"
1749064466782,06/04/2025 19:14:26,capricornio,mkr1310_vibracion,LoraDevice,longitud,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:13:57.00Z""}}"
1749064466782,06/04/2025 19:14:26,capricornio,mkr1310_vibracion,LoraDevice,vibracion,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:13:57.00Z""}}"
1749064466782,06/04/2025 19:14:26,capricornio,mkr1310_vibracion,LoraDevice,AlarmaVibracion,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:13:57.00Z""}}"
1749064466782,06/04/2025 19:14:26,capricornio,mkr1310_vibracion,LoraDevice,ID,Text,a8610a34362f7d16,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:13:57.00Z""}}"
1749064466782,06/04/2025 19:14:26,capricornio,mkr1310_vibracion,LoraDevice,TimeInstant,DateTime,2025-06-04T19:13:57.00Z,[]
1749064466782,06/04/2025 19:14:26,capricornio,mkr1310_vibracion,LoraDevice,sonido,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:13:57.00Z""}}"
1749064500041,06/04/2025 19:15:00,capricornio,mkr1310_vibracion,LoraDevice,AlarmaSonido,Number,1,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:15:00.00Z""}}"
1749064500041,06/04/2025 19:15:00,capricornio,mkr1310_vibracion,LoraDevice,latitud,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:15:00.00Z""}}"
1749064500041,06/04/2025 19:15:00,capricornio,mkr1310_vibracion,LoraDevice,longitud,Number,0,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:15:00.00Z""}}"
1749064500041,06/04/2025 19:15:00,capricornio,mkr1310_vibracion,LoraDevice,vibracion,Number,3,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:15:00.00Z""}}"
1749064500041,06/04/2025 19:15:00,capricornio,mkr1310_vibracion,LoraDevice,AlarmaVibracion,Number,1,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:15:00.00Z""}}"
1749064500041,06/04/2025 19:15:00,capricornio,mkr1310_vibracion,LoraDevice,ID,Text,a8610a34362f7d16,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:15:00.00Z""}}"
1749064500041,06/04/2025 19:15:00,capricornio,mkr1310_vibracion,LoraDevice,TimeInstant,DateTime,2025-06-04T19:15:00.00Z,[]
1749064500041,06/04/2025 19:15:00,capricornio,mkr1310_vibracion,LoraDevice,sonido,Number,1,"{""TimeInstant"":{""type"":""DateTime"",""value"":""2025-06-04T19:15:00.00Z""}}"
